-9.724485E-05,-0.0001318427,-6.242355E-05,-5.35953E-05,-0.0003954833,-0.0002830627,-0.0001154601,-0.0001187232,-79.39164,0,
-9.525569E-05,-0.0001368043,-5.35953E-05,-5.755125E-05,-0.0003953268,-0.0002827052,-0.0001169128,-0.00012031,-79.35838,0,
-9.742365E-05,-0.0001309263,-6.66924E-05,-5.066745E-05,-0.0003954162,-0.0002834203,-0.0001150354,-0.0001170469,-79.34942,0,
-9.58368E-05,-0.0001355751,-5.540565E-05,-5.705955E-05,-0.000395662,-0.0002817441,-0.0001161753,-0.0001204441,-79.33431,0,
-9.500985E-05,-0.0001343235,-6.18648E-05,-5.27907E-05,-0.0003950586,-0.0002830851,-0.0001157506,-0.0001182538,-79.28218,0,
-9.58815E-05,-0.0001315074,-6.376455E-05,-5.22096E-05,-0.0003948127,-0.0002818335,-0.0001156612,-0.000118522,-79.18554,0,
-9.413819E-05,-0.0001373407,-5.522685E-05,-5.705955E-05,-0.0003952597,-0.0002817217,-0.0001159294,-0.0001204888,-79.07543,0,
-9.5658E-05,-0.0001319544,-6.696059E-05,-5.013105E-05,-0.0003959973,-0.0002824369,-0.0001141861,-0.0001167564,-78.98888,0,
-9.39147E-05,-0.0001364244,-5.571855E-05,-5.629965E-05,-0.0003968466,-0.0002810065,-0.0001150578,-0.000119796,-78.94553,0,
-9.39594E-05,-0.0001358209,-6.1686E-05,-5.388585E-05,-0.0003962208,-0.0002825934,-0.0001149684,-0.000117181,-78.93497,0,
-9.505454E-05,-0.0001326696,-6.41445E-05,-5.276835E-05,-0.0003966231,-0.0002820793,-0.0001141414,-0.000117561,-78.92547,0,
-9.344535E-05,-0.0001375419,-5.486925E-05,-5.741715E-05,-0.0003963325,-0.0002823922,-0.000115393,-0.0001196619,-78.87898,0,
-9.49428E-05,-0.0001320885,-6.72288E-05,-4.98405E-05,-0.0003963102,-0.0002832192,-0.0001145214,-0.0001163317,-78.78333,0,
-9.35124E-05,-0.0001364914,-5.661255E-05,-5.59197E-05,-0.000396489,-0.0002816547,-0.0001154377,-0.0001196172,-78.66381,0,
-9.380295E-05,-0.0001355974,-6.269175E-05,-5.218725E-05,-0.0003965784,-0.0002824816,-0.000115326,-0.0001168905,-78.56522,0,
-9.525569E-05,-0.0001326026,-6.555255E-05,-5.098035E-05,-0.0003969807,-0.0002816547,-0.0001146108,-0.0001172704,-78.51566,0,
-9.431699E-05,-0.0001382347,-5.585265E-05,-5.558445E-05,-0.0003965113,-0.0002821464,-0.0001166893,-0.0001192596,-78.50733,0,
-9.585915E-05,-0.0001328931,-6.890505E-05,-4.874535E-05,-0.0003968019,-0.0002828392,-0.0001156612,-0.0001159294,-78.50442,0,
-9.500985E-05,-0.0001357315,-5.781945E-05,-5.53386E-05,-0.0003977406,-0.0002813418,-0.000117181,-0.00012031,-78.46751,0,
-9.49875E-05,-0.0001360221,-6.173069E-05,-5.17626E-05,-0.0003971148,-0.0002824816,-0.0001165776,-0.0001175386,-78.38509,0,
-9.71778E-05,-0.0001325802,-6.506085E-05,-5.04216E-05,-0.0003970254,-0.000281677,-0.0001159518,-0.000117561,-78.28143,0,
-9.581444E-05,-0.0001381006,-5.55174E-05,-5.4981E-05,-0.0003968689,-0.0002817217,-0.0001174716,-0.0001200195,-78.19592,0,
-9.787064E-05,-0.0001322226,-6.805575E-05,-4.744905E-05,-0.0003964443,-0.0002816547,-0.0001157506,-0.0001166446,-78.1516,0,
-9.71778E-05,-0.0001362232,-5.732775E-05,-5.334945E-05,-0.0003967348,-0.0002796432,-0.0001168681,-0.0001207794,-78.14465,0,
